category,"[210000] Estado de situación financiera, corriente/no corriente - Estados financieros consolidados Moneda: CLP - Peso chileno (Miles)",2018-03-31,2017-12-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31
Activos [sinopsis],Activos [sinopsis],Activos [sinopsis],Activos [sinopsis],Activos [sinopsis],Activos [sinopsis],Activos [sinopsis],Activos [sinopsis],Activos [sinopsis],Activos [sinopsis],Activos [sinopsis],Activos [sinopsis],Activos [sinopsis],Activos [sinopsis],Activos [sinopsis]
Activos corrientes [sinopsis],Activos corrientes [sinopsis],Activos corrientes [sinopsis],Activos corrientes [sinopsis],Activos corrientes [sinopsis],Activos corrientes [sinopsis],Activos corrientes [sinopsis],Activos corrientes [sinopsis],Activos corrientes [sinopsis],Activos corrientes [sinopsis],Activos corrientes [sinopsis],Activos corrientes [sinopsis],Activos corrientes [sinopsis],Activos corrientes [sinopsis],Activos corrientes [sinopsis]
Activos corrientes [sinopsis],Efectivo y equivalentes al efectivo,40.241.404,38.582.585,33.884.890,33.406.570,41.389.160,35.057.842,35.850.233,51.878.016,69.884.598,88.550.712,58.281.851,54.091.172,73.096.064
Activos corrientes [sinopsis],Otros activos financieros corrientes,356.795,344.719,-,3.645,2.213.405,188.112,357.638,453.941,1.050.974,964.208,1.111.849,496.160,594.991
Activos corrientes [sinopsis],Otros activos no financieros corrientes,2.403.068,1.921.402,2.522.611,2.416.588,2.923.446,2.403.654,4.925.154,3.285.977,3.624.599,3.274.991,3.271.686,3.403.301,3.457.137
Activos corrientes [sinopsis],Deudores comerciales y otras cuentas por cobrar corrientes,147.580.043,161.496.465,140.290.255,167.850.079,149.336.159,146.686.632,136.991.926,142.143.044,119.139.458,123.831.924,112.892.583,125.228.073,127.819.122
Activos corrientes [sinopsis],"Cuentas por cobrar a entidades relacionadas, corrientes",8.651.434,8.002.581,12.585.563,10.798.822,9.899.508,13.492.730,10.858.061,10.647.337,9.185.695,10.505.922,10.356.620,10.447.198,15.671.523
Activos corrientes [sinopsis],Inventarios corrientes,117.827.081,101.088.298,126.956.812,138.248.225,115.024.144,117.609.881,131.111.438,143.288.366,152.919.188,173.787.466,177.230.264,166.790.427,153.223.647
Activos corrientes [sinopsis],Activos biológicos corrientes,-,-,-,-,-,-,-,-,-,-,-,-,-
Activos corrientes [sinopsis],"Activos por impuestos corrientes, corrientes",12.487.326,12.559.168,14.681.667,16.205.106,19.853.953,24.980.383,23.309.061,25.600.154,28.414.923,28.372.869,28.804.451,29.450.330,32.109.874
Activos corrientes [sinopsis],Total de activos corrientes distintos de los activo o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,329.547.151,323.995.218,330.921.798,368.929.035,340.639.775,340.419.234,343.403.511,377.296.835,384.219.435,429.288.092,391.949.304,389.906.661,405.972.358
Activos corrientes [sinopsis],Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,2.541.976,2.760.181,5.287.925,4.868.755,4.086.820,5.586.961,4.403.239,4.015.299,3.874.273,2.115.113,1.522.623,1.661.372,414.144
Activos corrientes [sinopsis],Activos corrientes totales,332.089.127,326.755.399,336.209.723,373.797.790,344.726.595,346.006.195,347.806.750,381.312.134,388.093.708,431.403.205,393.471.927,391.568.033,406.386.502
Activos no corrientes [sinopsis],Activos no corrientes [sinopsis],Activos no corrientes [sinopsis],Activos no corrientes [sinopsis],Activos no corrientes [sinopsis],Activos no corrientes [sinopsis],Activos no corrientes [sinopsis],Activos no corrientes [sinopsis],Activos no corrientes [sinopsis],Activos no corrientes [sinopsis],Activos no corrientes [sinopsis],Activos no corrientes [sinopsis],Activos no corrientes [sinopsis],Activos no corrientes [sinopsis],Activos no corrientes [sinopsis]
Activos no corrientes [sinopsis],Otros activos financieros no corrientes,-,-,-,-,-,68.949,136.093,111.759,140.602,-,-,-,-
Activos no corrientes [sinopsis],Otros activos no financieros no corrientes,16.865.665,15.807.630,14.715.689,14.523.573,14.929.786,11.043.642,8.837.931,8.796.043,8.679.874,8.178.666,8.052.566,6.929.009,6.661.209
Activos no corrientes [sinopsis],Cuentas por cobrar no corrientes,21.739.112,21.992.999,19.056.329,20.122.375,11.196.686,10.929.479,12.574.728,12.302.812,11.821.351,11.549.528,11.115.785,10.658.145,8.275.303
Activos no corrientes [sinopsis],"Cuentas por cobrar a entidades relacionadas, no corrientes",9.988.841,9.956.106,8.142.462,8.103.801,9.028.232,9.853.229,16.026.620,19.458.370,21.620.567,22.808.098,16.060.139,16.081.879,17.036.132
Activos no corrientes [sinopsis],"Inventarios, no corrientes",-,-,14.328.996,13.468.682,9.599.022,8.752.790,7.782.409,5.609.910,5.609.910,5.609.910,5.609.910,3.467.210,3.467.210
Activos no corrientes [sinopsis],Inversiones contabilizadas utilizando el método de la participación,30.956.678,31.112.581,35.882.950,35.405.375,36.547.868,35.212.784,32.057.526,28.440.458,30.065.254,30.254.877,40.290.433,39.946.226,36.588.065
Activos no corrientes [sinopsis],Activos intangibles distintos de la plusvalía,30.297.882,30.587.444,29.981.526,29.671.979,29.312.150,29.220.419,28.955.830,28.951.058,28.904.632,29.125.146,29.449.557,29.545.334,32.751.247
Activos no corrientes [sinopsis],Plusvalía,1.581.546,1.581.546,1.581.546,2.437.826,2.437.826,2.437.826,2.437.826,2.437.826,2.437.826,2.446.867,2.446.867,2.446.867,2.446.867
Activos no corrientes [sinopsis],"Propiedades, planta y equipo",149.805.957,142.474.127,153.233.250,191.826.994,197.108.370,207.152.597,213.565.176,223.586.630,230.655.166,243.036.883,233.304.295,228.749.819,226.702.107
Activos no corrientes [sinopsis],Activos biológicos no corrientes,-,-,-,-,-,-,-,-,-,-,-,-,-
Activos no corrientes [sinopsis],Propiedad de inversión,1.401.608,1.408.138,1.395.079,1.388.550,803.419,799.624,795.828,2.887.407,2.986.853,3.195.500,3.039.575,2.909.850,2.683.852
Activos no corrientes [sinopsis],"Activos por impuestos corrientes, no corrientes",-,-,-,-,-,-,-,-,-,-,-,-,-
Activos no corrientes [sinopsis],Activos por impuestos diferidos,40.810.908,38.483.004,41.200.423,40.827.868,42.699.085,46.922.657,49.966.972,50.403.887,45.604.068,46.164.432,45.086.926,47.006.241,44.862.297
Activos no corrientes [sinopsis],Total de activos no corrientes,303.448.197,293.403.575,319.518.250,357.777.023,353.662.444,362.393.996,373.136.939,382.986.160,388.526.103,402.369.907,394.456.053,387.740.580,381.474.289
Activos no corrientes [sinopsis],Total de activos,635.537.324,620.158.974,655.727.973,731.574.813,698.389.039,708.400.191,720.943.689,764.298.294,776.619.811,833.773.112,787.927.980,779.308.613,787.860.791
Patrimonio y pasivos [sinopsis],Patrimonio y pasivos [sinopsis],Patrimonio y pasivos [sinopsis],Patrimonio y pasivos [sinopsis],Patrimonio y pasivos [sinopsis],Patrimonio y pasivos [sinopsis],Patrimonio y pasivos [sinopsis],Patrimonio y pasivos [sinopsis],Patrimonio y pasivos [sinopsis],Patrimonio y pasivos [sinopsis],Patrimonio y pasivos [sinopsis],Patrimonio y pasivos [sinopsis],Patrimonio y pasivos [sinopsis],Patrimonio y pasivos [sinopsis],Patrimonio y pasivos [sinopsis]
Pasivos [sinopsis],Pasivos [sinopsis],Pasivos [sinopsis],Pasivos [sinopsis],Pasivos [sinopsis],Pasivos [sinopsis],Pasivos [sinopsis],Pasivos [sinopsis],Pasivos [sinopsis],Pasivos [sinopsis],Pasivos [sinopsis],Pasivos [sinopsis],Pasivos [sinopsis],Pasivos [sinopsis],Pasivos [sinopsis]
Pasivos corrientes [sinopsis],Pasivos corrientes [sinopsis],Pasivos corrientes [sinopsis],Pasivos corrientes [sinopsis],Pasivos corrientes [sinopsis],Pasivos corrientes [sinopsis],Pasivos corrientes [sinopsis],Pasivos corrientes [sinopsis],Pasivos corrientes [sinopsis],Pasivos corrientes [sinopsis],Pasivos corrientes [sinopsis],Pasivos corrientes [sinopsis],Pasivos corrientes [sinopsis],Pasivos corrientes [sinopsis],Pasivos corrientes [sinopsis]
Pasivos corrientes [sinopsis],Otros pasivos financieros corrientes,95.451.849,94.381.994,107.550.396,94.649.575,92.866.280,83.463.839,84.277.946,76.844.179,91.946.764,94.563.242,69.716.883,66.832.852,64.529.409
Pasivos corrientes [sinopsis],Cuentas por pagar comerciales y otras cuentas por pagar,87.284.520,75.748.885,77.145.130,92.472.298,92.588.632,94.177.244,97.248.640,95.857.552,92.902.338,94.431.576,76.908.153,75.294.614,87.542.073
Pasivos corrientes [sinopsis],"Cuentas por pagar a entidades relacionadas, corrientes",6.484.869,10.707.420,5.932.970,9.524.284,7.261.236,9.120.381,10.695.225,11.306.185,14.550.673,15.822.042,16.511.322,15.419.650,29.313.111
Pasivos corrientes [sinopsis],Otras provisiones a corto plazo,923.586,1.168.302,604.099,1.246.195,1.559.904,1.296.469,1.485.492,1.351.078,1.777.742,2.808.506,1.834.821,2.380.882,3.553.239
Pasivos corrientes [sinopsis],"Pasivos por impuestos corrientes, corrientes",4.050.456,6.275.456,4.201.280,6.106.272,9.203.160,12.049.115,7.727.955,10.717.335,12.360.716,11.263.226,4.432.261,8.197.914,7.938.391
Pasivos corrientes [sinopsis],Provisiones corrientes por beneficios a los empleados,4.894.075,4.563.129,5.121.565,5.786.941,5.234.604,5.051.110,4.657.470,6.196.445,5.451.532,3.846.649,3.238.269,3.714.607,5.414.242
Pasivos corrientes [sinopsis],Otros pasivos no financieros corrientes,48.145.247,49.819.574,54.046.237,45.837.539,33.968.640,31.978.102,37.558.841,43.835.053,50.555.542,83.494.576,89.338.704,85.159.814,77.113.702
Pasivos corrientes [sinopsis],Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,247.234.602,242.664.760,254.601.677,255.623.104,242.682.456,237.136.260,243.651.569,246.107.827,269.545.307,328.061.099,281.814.322,277.706.411,295.586.904
Pasivos corrientes [sinopsis],Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,-,-,-,-,-,-,-,-,-,-,-,-,-
Pasivos corrientes [sinopsis],Pasivos corrientes totales,247.234.602,242.664.760,254.601.677,255.623.104,242.682.456,237.136.260,243.651.569,246.107.827,269.545.307,328.061.099,281.814.322,277.706.411,295.586.904
Pasivos no corrientes [sinopsis],Pasivos no corrientes [sinopsis],Pasivos no corrientes [sinopsis],Pasivos no corrientes [sinopsis],Pasivos no corrientes [sinopsis],Pasivos no corrientes [sinopsis],Pasivos no corrientes [sinopsis],Pasivos no corrientes [sinopsis],Pasivos no corrientes [sinopsis],Pasivos no corrientes [sinopsis],Pasivos no corrientes [sinopsis],Pasivos no corrientes [sinopsis],Pasivos no corrientes [sinopsis],Pasivos no corrientes [sinopsis],Pasivos no corrientes [sinopsis]
Pasivos no corrientes [sinopsis],Otros pasivos financieros no corrientes,152.666.559,145.807.551,163.669.477,234.311.394,223.804.397,237.821.536,243.680.385,258.704.384,255.136.956,209.189.805,214.682.439,207.264.557,202.436.502
Pasivos no corrientes [sinopsis],Cuentas por pagar no corrientes,-,-,-,-,-,-,-,-,-,-,-,-,-
Pasivos no corrientes [sinopsis],"Cuentas por pagar a entidades relacionadas, no corrientes",10.401.105,7.934.538,10.456.652,10.505.609,10.534.376,9.887.171,9.654.194,9.965.165,9.781.312,9.683.678,9.821.123,9.975.960,10.216.505
Pasivos no corrientes [sinopsis],Otras provisiones a largo plazo,3.124.014,3.185.991,3.330.914,3.777.344,5.087.907,5.092.689,5.053.937,5.257.175,6.258.294,6.307.692,6.464.858,6.206.141,5.600.045
Pasivos no corrientes [sinopsis],Pasivo por impuestos diferidos,21.166.199,20.779.694,20.247.264,19.461.959,17.531.691,18.052.933,18.973.656,20.827.475,20.684.292,20.121.939,20.934.867,22.392.840,25.926.091
Pasivos no corrientes [sinopsis],"Pasivos por impuestos corrientes, no corrientes",-,-,-,-,-,-,-,-,-,-,-,-,-
Pasivos no corrientes [sinopsis],Provisiones no corrientes por beneficios a los empleados,477.113,447.438,499.500,626.930,595.580,534.494,507.726,662.539,624.658,434.735,421.782,457.909,459.260
Pasivos no corrientes [sinopsis],Otros pasivos no financieros no corrientes,-,-,463.024,2.318.098,2.449.357,3.452.123,5.263.145,26.964.056,15.168.545,2.812.895,3.157.017,3.651.707,4.795.553
Pasivos no corrientes [sinopsis],Total de pasivos no corrientes,187.834.990,178.155.212,198.666.831,271.001.334,260.003.308,274.840.946,283.133.043,322.380.794,307.654.057,305.973.325,306.183.652,298.757.925,291.380.021
Pasivos no corrientes [sinopsis],Total de pasivos,435.069.592,420.819.972,453.268.508,526.624.438,502.685.764,511.977.206,526.784.612,568.488.621,577.199.364,634.034.424,587.997.974,576.464.336,586.966.925
Patrimonio [sinopsis],Patrimonio [sinopsis],Patrimonio [sinopsis],Patrimonio [sinopsis],Patrimonio [sinopsis],Patrimonio [sinopsis],Patrimonio [sinopsis],Patrimonio [sinopsis],Patrimonio [sinopsis],Patrimonio [sinopsis],Patrimonio [sinopsis],Patrimonio [sinopsis],Patrimonio [sinopsis],Patrimonio [sinopsis],Patrimonio [sinopsis]
Patrimonio [sinopsis],Capital emitido,59.047.773,59.047.773,59.047.773,59.047.773,59.047.773,,,,,,,,
Patrimonio [sinopsis],Ganancias (pérdidas) acumuladas,118.775.236,117.419.038,118.258.948,120.587.846,111.252.106,114.143.423,114.340.199,117.255.621,119.158.250,119.818.656,121.318.013,125.508.044,126.907.733
Patrimonio [sinopsis],Prima de emisión,9.867.228,9.867.228,9.867.228,9.867.228,9.867.228,9.867.228,9.867.228,9.867.228,9.867.228,9.867.228,9.867.228,9.867.228,9.867.228
Patrimonio [sinopsis],Acciones propias en cartera,-,-,-,-,-,-,-,-,-,-,-,-,-
Patrimonio [sinopsis],Otras participaciones en el patrimonio,-,-,-,-,-,-,-,-,-,-,-,-,-
Patrimonio [sinopsis],Otras reservas,847.041,879.443,3.247.422,2.447.792,4.177.422,3.063.150,1.542.851,545.650,2.748.758,3.025.246,2.699.173,2.043.386,-2.021.591
Patrimonio [sinopsis],Patrimonio atribuible a los propietarios de la controladora,188.537.278,187.213.482,190.421.371,191.950.639,184.344.529,186.121.574,184.798.051,186.716.272,190.822.009,191.758.903,192.932.187,196.466.431,193.801.143
Patrimonio [sinopsis],Participaciones no controladoras,11.930.454,12.125.520,12.038.094,12.999.736,11.358.746,10.301.411,9.361.026,9.093.401,8.598.438,7.979.785,6.997.819,6.377.846,7.092.723
Patrimonio [sinopsis],Patrimonio total,200.467.732,199.339.002,202.459.465,204.950.375,195.703.275,196.422.985,194.159.077,195.809.673,199.420.447,199.738.688,199.930.006,202.844.277,200.893.866
Patrimonio [sinopsis],Total de patrimonio y pasivos,635.537.324,620.158.974,655.727.973,731.574.813,698.389.039,708.400.191,720.943.689,764.298.294,776.619.811,833.773.112,787.927.980,779.308.613,787.860.791
Patrimonio [sinopsis],Capital emitido y pagado,,,,,,59.047.773,59.047.773,59.047.773,59.047.773,59.047.773,59.047.773,59.047.773,59.047.773
Activos no corrientes [sinopsis],Activos por derecho de uso,,,,,,,,,,-,-,-,-
Pasivos corrientes [sinopsis],Pasivos por arrendamientos corrientes,,,,,,,,,,21.831.282,19.833.909,20.706.078,20.182.737
Pasivos no corrientes [sinopsis],Pasivos por arrendamientos no corrientes,,,,,,,,,,57.422.581,50.701.566,48.808.811,41.946.065
